ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
460276,Female,Yes,41,Yes,Artist,3.0,Low,2.0,Cat_6
460281,Female,No,30,Yes,Doctor,10.0,Low,5.0,Cat_6
460283,Male,Yes,43,Yes,Doctor,12.0,Low,2.0,Cat_6
460284,Female,No,29,Yes,Entertainment,9.0,Low,2.0,Cat_6
460287,Male,Yes,48,Yes,Artist,1.0,Low,1.0,Cat_6
460289,Female,Yes,61,Yes,Artist,4.0,Average,6.0,Cat_4
460298,Female,No,51,Yes,Lawyer,2.0,Low,1.0,Cat_6
460303,Female,No,38,Yes,Artist,2.0,Low,1.0,
460305,Female,,49,Yes,Entertainment,0.0,High,1.0,Cat_6
460306,Female,No,43,Yes,Healthcare,9.0,Low,1.0,Cat_6
460310,Male,No,27,No,Healthcare,14.0,Low,4.0,Cat_6
460315,Female,No,35,No,Doctor,14.0,Low,6.0,Cat_7
460319,Female,Yes,39,No,Doctor,4.0,Average,2.0,Cat_7
460322,Female,Yes,52,No,Engineer,9.0,Low,,Cat_6
460323,Female,No,38,Yes,Engineer,10.0,Low,1.0,Cat_6
460324,Female,No,30,Yes,Entertainment,12.0,Low,2.0,Cat_6
460327,Female,No,43,Yes,Artist,10.0,Low,1.0,Cat_6
460333,Female,No,42,No,Entertainment,10.0,Low,4.0,Cat_6
460336,Female,No,46,Yes,Artist,2.0,Low,1.0,Cat_7
460340,Female,No,47,Yes,Artist,11.0,Low,2.0,Cat_6
460341,Female,No,32,No,Entertainment,13.0,Low,5.0,Cat_7
460344,Female,Yes,53,Yes,Artist,11.0,Average,2.0,Cat_6
460346,Female,Yes,43,Yes,Artist,12.0,Average,,Cat_6
460348,Female,No,39,Yes,Artist,0.0,Low,2.0,Cat_6
460349,Male,,42,Yes,Artist,3.0,Average,2.0,Cat_6
460354,Female,No,37,Yes,Artist,3.0,Low,1.0,Cat_3
460356,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6
460358,Male,No,30,No,Marketing,1.0,Low,1.0,Cat_3
460361,Female,Yes,49,Yes,Artist,0.0,Low,1.0,Cat_4
460362,Male,Yes,55,Yes,Healthcare,0.0,Low,3.0,Cat_4
460365,Female,Yes,59,Yes,Doctor,1.0,Low,2.0,Cat_4
460369,Female,Yes,46,Yes,Artist,,Low,2.0,Cat_6
460370,Female,Yes,27,Yes,Executive,9.0,High,2.0,Cat_6
460371,Female,No,25,Yes,Artist,1.0,Low,2.0,Cat_6
460378,Female,No,37,Yes,Doctor,1.0,Low,1.0,Cat_6
460379,Male,No,38,Yes,Artist,9.0,Low,3.0,Cat_6
460380,Male,No,29,Yes,Entertainment,9.0,Low,3.0,Cat_6
460381,Male,No,28,Yes,Artist,11.0,Low,2.0,Cat_6
460384,Female,Yes,27,Yes,Marketing,8.0,Low,2.0,Cat_6
460387,Female,No,42,No,Entertainment,3.0,Low,2.0,Cat_6
460388,Female,No,43,Yes,Artist,14.0,Low,2.0,Cat_6
460389,Female,Yes,40,Yes,Healthcare,8.0,Average,2.0,Cat_6
460390,Male,No,41,Yes,Artist,9.0,Low,3.0,Cat_6
460392,Male,Yes,46,No,Entertainment,8.0,Low,1.0,Cat_1
460394,Female,No,32,Yes,Healthcare,9.0,Low,3.0,Cat_6
460397,Female,No,56,Yes,Entertainment,1.0,Low,1.0,Cat_6
460399,Male,No,28,Yes,Marketing,12.0,Low,1.0,Cat_6
460401,Female,No,25,Yes,Artist,0.0,Low,3.0,Cat_7
460404,Male,Yes,42,Yes,Artist,6.0,Low,7.0,Cat_6
460405,Female,No,41,Yes,Entertainment,5.0,Low,2.0,Cat_6
460406,Male,Yes,36,Yes,Healthcare,3.0,Low,2.0,Cat_6
460408,Female,No,42,Yes,Artist,2.0,Low,1.0,Cat_6
460409,Female,No,42,Yes,Artist,8.0,Low,4.0,Cat_6
460415,Female,No,55,Yes,Entertainment,1.0,Low,2.0,Cat_6
460422,Male,Yes,52,Yes,Entertainment,1.0,High,,Cat_6
460431,Female,No,47,Yes,Engineer,1.0,Low,1.0,Cat_6
460434,Male,,57,Yes,Artist,2.0,High,3.0,Cat_6
460437,Female,No,26,Yes,Artist,8.0,Low,1.0,Cat_6
460440,Female,No,28,No,Artist,5.0,Low,2.0,Cat_6
460443,Female,No,37,Yes,Doctor,0.0,Low,1.0,Cat_6
460447,Male,,89,No,Lawyer,0.0,Low,1.0,Cat_3
460449,Male,No,25,No,Marketing,2.0,Low,1.0,Cat_3
460450,Male,Yes,50,Yes,Executive,1.0,High,4.0,Cat_4
460453,Female,No,42,Yes,Doctor,5.0,Low,1.0,Cat_6
460454,Male,No,48,Yes,Artist,,Low,1.0,Cat_6
460457,Female,No,37,Yes,Entertainment,9.0,Low,,Cat_3
460459,Female,No,30,No,Engineer,1.0,Low,5.0,Cat_3
460460,Male,Yes,26,No,Entertainment,2.0,Low,4.0,Cat_3
460467,Female,Yes,47,Yes,Artist,,Average,2.0,Cat_6
460470,Male,No,36,No,Healthcare,,Low,4.0,Cat_4
460476,Male,Yes,53,No,Doctor,,Average,4.0,Cat_3
460477,Male,No,30,No,Entertainment,1.0,Low,6.0,Cat_3
460484,Female,No,20,No,Healthcare,4.0,Low,7.0,Cat_3
460485,Female,No,19,No,Marketing,8.0,Low,5.0,Cat_3
460489,Male,No,19,No,Healthcare,9.0,Low,6.0,Cat_3
460492,Female,No,37,No,Marketing,12.0,Low,,Cat_3
460495,Male,No,20,No,Healthcare,0.0,Low,6.0,Cat_3
460504,Male,,39,No,Executive,,Average,3.0,Cat_3
460505,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_3
460507,Male,No,31,No,Doctor,0.0,Low,4.0,Cat_3
460508,Male,Yes,31,Yes,Healthcare,2.0,High,3.0,Cat_3
460518,Female,Yes,41,Yes,Engineer,9.0,Average,3.0,Cat_3
460522,Female,Yes,32,No,Homemaker,,Average,2.0,Cat_4
460541,Female,Yes,42,Yes,Homemaker,0.0,Average,3.0,Cat_3
460542,Female,Yes,89,No,Lawyer,1.0,Low,,Cat_3
460545,Male,Yes,78,No,Lawyer,1.0,High,3.0,Cat_3
460546,Female,Yes,65,Yes,Lawyer,1.0,Low,2.0,Cat_3
460547,Female,Yes,48,Yes,Homemaker,0.0,Average,,Cat_3
460549,Male,No,36,Yes,Artist,8.0,Low,2.0,Cat_3
460550,Female,Yes,55,Yes,Artist,0.0,Average,4.0,Cat_3
460551,Male,Yes,52,Yes,Engineer,0.0,Average,2.0,Cat_3
460555,Male,Yes,52,Yes,Homemaker,7.0,Average,3.0,Cat_3
460556,Female,Yes,41,Yes,,1.0,Low,1.0,Cat_3
460558,Female,Yes,36,Yes,Engineer,,Low,1.0,Cat_3
460561,Female,No,37,No,Engineer,7.0,Low,1.0,Cat_3
460563,Female,No,40,No,Healthcare,1.0,Low,2.0,Cat_1
460566,Male,Yes,38,Yes,Homemaker,,Average,2.0,Cat_3
460571,Male,No,25,No,Doctor,0.0,Low,3.0,Cat_3
460572,Female,No,33,Yes,Engineer,1.0,Low,4.0,Cat_3
460574,Male,No,26,Yes,Artist,1.0,Low,1.0,Cat_3
460582,Female,No,28,No,Entertainment,0.0,Low,1.0,Cat_3
460583,Male,No,18,No,Marketing,0.0,Low,6.0,Cat_3
460585,Male,No,52,No,Entertainment,0.0,Low,3.0,Cat_3
460586,Male,No,26,Yes,Healthcare,0.0,Low,2.0,Cat_3
460588,Male,No,18,No,Healthcare,0.0,Low,4.0,Cat_3
460597,Female,No,20,No,Marketing,1.0,Low,2.0,Cat_3
460598,Female,Yes,36,Yes,Doctor,0.0,Average,3.0,Cat_3
460605,Male,Yes,27,Yes,Doctor,8.0,Average,2.0,Cat_4
460606,Male,No,21,No,Healthcare,,Low,5.0,Cat_7
460612,Male,No,27,Yes,Entertainment,8.0,Low,4.0,Cat_3
460615,Female,No,28,Yes,Healthcare,,Low,,Cat_3
460618,Male,Yes,63,Yes,Lawyer,,Low,4.0,Cat_3
460619,Male,No,48,Yes,Entertainment,,Low,,Cat_3
460621,Male,Yes,80,Yes,Lawyer,1.0,Low,2.0,Cat_3
460622,Female,Yes,71,Yes,Lawyer,7.0,High,3.0,Cat_3
460626,Male,Yes,47,No,Doctor,8.0,High,4.0,Cat_6
460627,Female,No,22,No,,1.0,Low,4.0,Cat_3
460633,Male,Yes,35,Yes,,,High,2.0,Cat_3
460634,Female,No,40,No,Entertainment,,Low,6.0,Cat_3
460637,Female,No,18,No,Healthcare,,Low,,Cat_3
460638,Female,No,26,Yes,Artist,0.0,Low,4.0,Cat_3
460639,Female,Yes,73,Yes,Lawyer,,Low,5.0,Cat_1
460640,Male,Yes,86,,Lawyer,,Low,1.0,Cat_3
460645,Female,No,37,No,Doctor,1.0,Low,2.0,Cat_3
460646,Male,Yes,59,Yes,Entertainment,,Low,,Cat_3
460653,Female,No,28,No,Homemaker,8.0,Low,1.0,Cat_4
460656,Female,Yes,29,Yes,Artist,9.0,Low,3.0,Cat_6
460658,Female,Yes,37,Yes,Marketing,7.0,Average,3.0,Cat_6
460659,Female,Yes,46,Yes,Marketing,,Average,3.0,Cat_6
460660,Male,No,39,,Entertainment,6.0,Low,1.0,Cat_6
460661,Female,No,33,No,Homemaker,8.0,Low,1.0,Cat_6
460668,Female,No,32,Yes,Doctor,,Low,2.0,Cat_3
460678,Female,No,32,No,Doctor,6.0,Low,2.0,Cat_3
460686,Female,,25,No,Homemaker,8.0,Low,1.0,Cat_3
460687,Female,Yes,48,Yes,Homemaker,9.0,Average,2.0,Cat_3
460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3
460702,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6
460703,Female,Yes,33,Yes,Engineer,8.0,Average,5.0,Cat_4
460706,Female,No,33,No,Engineer,7.0,Low,6.0,Cat_4
460708,Male,Yes,39,Yes,Artist,0.0,Low,3.0,Cat_6
460716,Male,Yes,50,Yes,Entertainment,0.0,Average,4.0,Cat_6
460719,Female,Yes,84,Yes,Lawyer,0.0,Low,,Cat_3
460720,Female,Yes,46,Yes,Artist,0.0,Average,2.0,Cat_6
460722,Male,Yes,31,No,Entertainment,0.0,Average,3.0,Cat_3
460726,Male,Yes,57,Yes,Artist,3.0,Average,2.0,Cat_6
460727,Male,Yes,73,No,Executive,1.0,High,4.0,Cat_3
460729,Male,Yes,36,Yes,Entertainment,9.0,Low,4.0,Cat_6
460733,Male,No,53,Yes,Marketing,2.0,Low,4.0,Cat_6
460734,Male,Yes,41,Yes,Entertainment,9.0,Average,,Cat_2
460738,Female,No,53,No,Engineer,0.0,Low,,Cat_7
460740,Male,Yes,35,Yes,Artist,2.0,Average,3.0,Cat_6
460743,Male,Yes,62,Yes,Artist,0.0,Average,3.0,Cat_6
460746,Male,No,23,No,Marketing,0.0,Low,3.0,Cat_6
460763,Male,No,51,Yes,Artist,1.0,Low,2.0,Cat_6
460769,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6
460780,Female,No,26,Yes,Healthcare,0.0,Low,2.0,Cat_3
460783,Male,Yes,86,Yes,Lawyer,1.0,Low,1.0,Cat_6
460785,Male,No,26,Yes,Healthcare,0.0,Low,4.0,Cat_7
460789,Male,Yes,42,Yes,Executive,0.0,Low,3.0,Cat_6
460794,Female,Yes,41,Yes,Homemaker,9.0,Low,1.0,Cat_6
460796,Male,Yes,67,No,Lawyer,0.0,Low,3.0,Cat_6
460802,Male,Yes,68,Yes,Lawyer,1.0,High,2.0,Cat_6
460811,Female,Yes,45,No,Engineer,0.0,High,2.0,Cat_6
460813,Female,Yes,86,No,Lawyer,0.0,High,2.0,Cat_6
460815,Male,Yes,62,Yes,Artist,0.0,High,2.0,Cat_3
460822,Male,Yes,42,Yes,Artist,1.0,Low,2.0,Cat_6
460825,Male,No,26,Yes,Doctor,0.0,Low,3.0,Cat_4
460828,Male,No,48,No,Entertainment,1.0,Low,1.0,Cat_6
460830,Male,Yes,40,No,Entertainment,3.0,Average,5.0,Cat_2
460831,Male,No,20,No,Healthcare,0.0,Low,4.0,Cat_6
460837,Female,No,25,Yes,Artist,1.0,Low,1.0,Cat_5
460838,Male,No,37,Yes,Artist,1.0,Low,,Cat_6
460840,Male,Yes,77,Yes,Lawyer,1.0,Low,1.0,Cat_6
460844,Male,Yes,50,Yes,Healthcare,,Low,2.0,Cat_6
460846,Female,No,22,No,Marketing,0.0,Low,4.0,Cat_6
460847,Male,No,26,Yes,Artist,1.0,Low,3.0,Cat_6
460851,Male,Yes,71,No,Doctor,0.0,Average,3.0,Cat_6
460855,Male,Yes,50,Yes,Artist,,Low,2.0,Cat_6
460857,Male,No,29,No,Entertainment,1.0,Low,1.0,Cat_4
460859,Male,Yes,51,Yes,Entertainment,,Low,4.0,Cat_6
460860,Male,Yes,52,Yes,Artist,6.0,Average,4.0,Cat_6
460861,Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_3
460866,Male,No,26,Yes,Doctor,0.0,Low,9.0,Cat_4
460870,Male,No,37,Yes,Healthcare,,Low,,Cat_4
460871,Female,No,33,Yes,Healthcare,,Low,,Cat_6
460872,Female,Yes,39,Yes,Artist,0.0,Low,2.0,Cat_4
460877,Female,Yes,53,No,Artist,1.0,Average,5.0,Cat_6
460878,Male,Yes,49,No,Entertainment,0.0,Average,4.0,Cat_6
460882,Male,No,21,No,Healthcare,0.0,Low,2.0,Cat_3
460888,Male,Yes,39,No,Homemaker,8.0,Low,1.0,Cat_6
460891,Female,Yes,38,No,Artist,2.0,Average,4.0,Cat_3
460897,Male,No,22,No,Healthcare,4.0,Low,4.0,Cat_6
460898,Male,Yes,52,No,Artist,2.0,Average,4.0,Cat_6
460899,Male,No,40,Yes,Entertainment,,Low,3.0,Cat_6
460901,Male,No,20,No,Doctor,8.0,Low,3.0,Cat_6
460902,Male,No,41,Yes,Executive,1.0,Low,3.0,Cat_6
460905,Male,No,30,Yes,Artist,1.0,Low,1.0,Cat_3
460906,Female,Yes,89,Yes,Lawyer,1.0,High,3.0,Cat_6
460907,Male,Yes,83,No,Lawyer,1.0,High,3.0,Cat_6
460923,Male,Yes,53,Yes,Artist,0.0,Average,3.0,Cat_6
460924,Male,No,31,No,Doctor,1.0,Low,5.0,Cat_2
460928,Male,Yes,48,Yes,Artist,1.0,Average,4.0,Cat_6
460934,Female,No,29,No,Doctor,0.0,Low,2.0,Cat_6
460935,Male,Yes,87,Yes,Lawyer,0.0,Low,1.0,Cat_6
460945,Male,No,19,No,Engineer,4.0,Low,7.0,Cat_6
460953,Male,Yes,60,No,Entertainment,1.0,Low,2.0,Cat_6
460961,Male,No,23,No,Healthcare,1.0,Low,2.0,Cat_3
460962,Male,Yes,61,Yes,Executive,9.0,High,4.0,Cat_6
460963,Female,No,27,Yes,Artist,1.0,Low,3.0,Cat_6
460968,Male,Yes,32,No,Doctor,14.0,Average,2.0,Cat_3
460975,Male,Yes,79,,Lawyer,0.0,High,2.0,Cat_6
460976,Male,No,19,No,Healthcare,1.0,Low,4.0,Cat_6
460977,Male,Yes,42,Yes,Executive,0.0,High,3.0,Cat_4
460979,Male,Yes,76,No,Lawyer,1.0,Low,1.0,Cat_6
460981,Female,Yes,41,No,Marketing,1.0,Average,2.0,Cat_6
460984,Male,Yes,38,Yes,Entertainment,0.0,Average,4.0,Cat_6
460988,Male,Yes,43,Yes,Entertainment,0.0,Average,3.0,Cat_4
460989,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_1
460991,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_7
460993,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6
460999,Male,No,28,Yes,Engineer,0.0,Low,3.0,Cat_3
461000,Male,Yes,60,No,Marketing,1.0,High,2.0,Cat_3
461001,Female,No,55,Yes,Artist,0.0,Low,,Cat_3
461015,Male,Yes,35,Yes,Entertainment,1.0,Average,2.0,Cat_3
461016,Male,No,25,No,Healthcare,5.0,Low,5.0,Cat_3
461022,Male,Yes,71,Yes,Artist,1.0,Low,1.0,Cat_3
461023,Male,Yes,65,No,Lawyer,,High,2.0,Cat_3
461024,Male,Yes,74,Yes,Lawyer,1.0,Low,1.0,Cat_6
461028,Female,No,20,No,Healthcare,5.0,Low,4.0,Cat_4
461029,Male,Yes,43,No,Entertainment,9.0,Low,2.0,Cat_4
461034,Female,No,20,No,Marketing,3.0,Low,6.0,Cat_3
461037,Male,Yes,40,Yes,Healthcare,,High,5.0,Cat_3
461038,Female,Yes,46,Yes,Engineer,0.0,High,5.0,Cat_3
461041,Female,Yes,65,No,Lawyer,1.0,High,7.0,Cat_3
461042,Male,No,21,No,Healthcare,0.0,Low,,Cat_4
461043,Male,Yes,50,No,Healthcare,1.0,Low,7.0,Cat_4
461044,Male,No,18,No,Healthcare,0.0,Low,5.0,Cat_4
461049,Female,Yes,61,Yes,Doctor,1.0,Low,7.0,Cat_7
461050,Male,Yes,49,Yes,,1.0,High,3.0,Cat_6
461053,Male,Yes,39,No,Executive,,High,4.0,Cat_3
461059,Female,Yes,52,No,Lawyer,1.0,High,2.0,Cat_6
461060,Male,Yes,56,Yes,Executive,0.0,High,5.0,Cat_6
461065,Male,Yes,55,Yes,Executive,,Low,6.0,Cat_3
461071,Male,Yes,42,No,Engineer,1.0,Average,5.0,Cat_3
461078,Female,No,33,No,Homemaker,0.0,Low,6.0,Cat_3
461082,Male,No,19,No,Healthcare,8.0,Low,4.0,Cat_1
461085,Female,No,27,No,Engineer,1.0,Low,1.0,Cat_3
461093,Female,Yes,38,Yes,Artist,1.0,Average,4.0,Cat_3
461099,Female,No,38,No,Artist,1.0,Low,4.0,Cat_3
461111,Female,Yes,43,Yes,Doctor,8.0,Low,1.0,Cat_6
461114,Male,Yes,53,Yes,Artist,1.0,Average,4.0,Cat_3
461116,Male,Yes,33,No,Executive,4.0,High,4.0,Cat_3
461118,Female,No,30,Yes,Healthcare,7.0,Low,,Cat_3
461119,Female,No,22,No,Healthcare,6.0,Low,3.0,Cat_3
461121,Male,No,33,No,Doctor,0.0,Low,4.0,Cat_3
461124,Male,No,21,No,Healthcare,1.0,Low,8.0,Cat_4
461127,Male,No,20,No,Healthcare,1.0,Low,5.0,Cat_4
461128,Male,No,19,No,Healthcare,7.0,Low,3.0,Cat_6
461129,Female,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6
461131,Male,Yes,67,Yes,Artist,1.0,High,,Cat_6
461145,Female,Yes,36,Yes,Entertainment,1.0,Low,2.0,Cat_3
461152,Female,No,30,No,Homemaker,8.0,Low,,Cat_3
461154,Male,No,23,No,Homemaker,1.0,Low,4.0,Cat_3
461158,Female,No,42,Yes,Entertainment,1.0,Low,,Cat_3
461162,Female,No,37,No,Marketing,8.0,Low,3.0,Cat_3
461163,Female,Yes,58,No,Entertainment,9.0,Low,4.0,Cat_3
461168,Female,Yes,26,No,Engineer,7.0,Average,2.0,Cat_3
461169,Male,No,39,Yes,Entertainment,9.0,Low,2.0,Cat_3
461174,Female,No,23,No,Marketing,,Low,4.0,Cat_3
461177,Male,Yes,41,No,Executive,8.0,Average,4.0,Cat_1
461178,Male,Yes,26,No,Entertainment,0.0,Low,3.0,Cat_3
461179,Female,Yes,25,No,Engineer,3.0,Low,3.0,Cat_3
461181,Male,No,19,No,Healthcare,,Low,4.0,Cat_3
461183,Male,No,36,No,Executive,0.0,Low,5.0,Cat_3
461187,Male,No,29,No,Healthcare,9.0,Low,4.0,Cat_3
461197,Male,No,26,No,Marketing,1.0,Low,1.0,Cat_3
461198,Female,No,78,Yes,Lawyer,,Low,1.0,Cat_6
461201,Female,No,55,Yes,Artist,,Low,1.0,Cat_6
461205,Male,No,26,Yes,Healthcare,,Low,3.0,Cat_2
461211,Female,No,46,Yes,Entertainment,0.0,Low,1.0,Cat_6
461214,Male,No,29,No,Healthcare,0.0,Low,4.0,Cat_6
461215,Female,No,36,Yes,Artist,10.0,Low,1.0,Cat_6
461218,Male,Yes,27,No,Executive,1.0,Low,6.0,Cat_6
461220,Female,No,29,No,Executive,8.0,Low,3.0,Cat_6
461221,Female,No,25,No,Marketing,1.0,Low,4.0,Cat_6
461225,Female,No,30,No,Marketing,10.0,Low,6.0,Cat_6
461226,Male,Yes,45,Yes,,1.0,Low,2.0,Cat_6
461230,Female,No,21,No,Executive,0.0,Low,,Cat_3
461232,Female,Yes,41,Yes,Executive,,High,,Cat_3
461233,Male,Yes,38,Yes,Entertainment,,Low,,Cat_3
461236,Female,No,28,Yes,Healthcare,9.0,Low,1.0,Cat_6
461237,Male,No,33,Yes,Doctor,1.0,Low,5.0,Cat_2
461241,Male,Yes,31,Yes,Healthcare,7.0,Low,2.0,Cat_6
461242,Male,Yes,45,Yes,Healthcare,0.0,Low,2.0,Cat_6
461243,Male,Yes,47,Yes,Marketing,0.0,Low,5.0,Cat_6
461248,Female,No,39,No,Healthcare,0.0,Low,1.0,Cat_6
461251,Female,No,47,Yes,Marketing,1.0,Low,,Cat_6
461252,Female,Yes,53,Yes,Doctor,0.0,Low,1.0,Cat_3
461256,Male,No,27,No,Doctor,1.0,Low,4.0,Cat_4
461257,Male,Yes,37,Yes,Engineer,1.0,Average,2.0,Cat_4
461258,Female,Yes,62,Yes,Artist,1.0,Average,3.0,Cat_4
461262,Female,No,29,No,Engineer,0.0,Low,7.0,Cat_4
461263,Female,Yes,51,Yes,Artist,0.0,Low,1.0,Cat_4
461265,Male,No,30,No,Marketing,1.0,Low,6.0,Cat_4
461269,Male,No,18,No,Entertainment,0.0,Low,4.0,Cat_4
461274,Female,Yes,87,Yes,Lawyer,,High,2.0,Cat_6
461276,Male,Yes,68,Yes,Marketing,0.0,Low,2.0,Cat_7
461277,Male,Yes,84,Yes,Lawyer,5.0,Low,1.0,Cat_6
461281,Male,No,22,No,Healthcare,2.0,Low,9.0,Cat_2
461286,Female,No,22,No,Doctor,2.0,Low,4.0,Cat_6
461289,Male,No,21,No,Healthcare,1.0,Low,3.0,Cat_6
461292,Female,Yes,89,No,Lawyer,,High,2.0,Cat_3
461297,Male,Yes,73,No,Lawyer,0.0,High,2.0,Cat_6
461299,Female,Yes,75,Yes,Lawyer,0.0,High,2.0,Cat_6
461303,Female,No,20,No,Doctor,6.0,Low,4.0,Cat_2
461308,Male,No,22,No,Healthcare,1.0,Low,2.0,Cat_6
461309,Female,No,22,No,Healthcare,0.0,Low,4.0,Cat_6
461313,Male,Yes,63,Yes,Artist,0.0,Average,,Cat_6
461314,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_6
461319,Male,Yes,58,No,Artist,0.0,Average,2.0,Cat_6
461320,Female,No,41,Yes,Artist,1.0,Low,3.0,Cat_6
461322,Male,Yes,42,Yes,Artist,0.0,Average,2.0,Cat_6
461323,Female,Yes,43,Yes,Healthcare,6.0,Average,2.0,Cat_6
461324,Female,No,49,Yes,Artist,3.0,Low,1.0,Cat_6
461326,Female,No,40,Yes,Artist,0.0,Low,1.0,Cat_6
461335,Male,Yes,53,No,Executive,8.0,High,2.0,Cat_6
461340,Male,Yes,36,Yes,Artist,4.0,Average,2.0,Cat_7
461346,Male,Yes,50,Yes,Artist,8.0,Low,2.0,Cat_6
461348,Male,Yes,42,Yes,Healthcare,1.0,Low,1.0,Cat_6
461350,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_2
461352,Male,No,29,No,Healthcare,2.0,Low,5.0,Cat_2
461356,Male,No,28,Yes,Entertainment,1.0,Low,2.0,Cat_6
461357,Male,No,27,Yes,Healthcare,1.0,Low,4.0,Cat_6
461363,Male,No,49,Yes,Artist,0.0,Low,1.0,Cat_6
461366,Male,No,32,Yes,Healthcare,1.0,Low,1.0,Cat_6
461370,Male,No,25,Yes,Doctor,1.0,Low,3.0,Cat_6
461377,Female,Yes,63,Yes,Artist,,Low,1.0,Cat_6
461378,Female,No,42,Yes,Artist,8.0,Low,1.0,Cat_6
461379,Male,No,31,Yes,Healthcare,1.0,Low,,Cat_5
461383,Male,Yes,71,Yes,Artist,0.0,High,2.0,Cat_6
461388,Male,No,20,No,Healthcare,,Low,5.0,Cat_2
461397,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_6
461402,Female,No,29,Yes,Entertainment,1.0,Low,5.0,Cat_6
461408,Male,Yes,47,Yes,Marketing,0.0,Low,3.0,Cat_6
461421,Male,Yes,43,Yes,Artist,,Average,3.0,Cat_6
461423,Male,No,32,Yes,Artist,1.0,Low,3.0,Cat_4
461426,Male,Yes,47,Yes,Artist,7.0,Average,2.0,Cat_6
461428,Male,No,46,Yes,Artist,0.0,Low,1.0,Cat_6
461432,Female,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6
461437,Male,Yes,37,Yes,Entertainment,0.0,Average,2.0,Cat_6
461439,Male,Yes,40,Yes,Artist,0.0,Average,2.0,Cat_6
461441,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6
461442,Male,Yes,46,Yes,Artist,0.0,Average,6.0,Cat_2
461454,Female,Yes,36,Yes,Artist,6.0,High,4.0,Cat_7
461456,Female,No,38,No,Marketing,0.0,Low,1.0,Cat_6
461457,Female,Yes,32,No,Doctor,0.0,Low,5.0,Cat_6
461458,Female,No,41,Yes,Artist,5.0,Low,1.0,Cat_6
461462,Male,Yes,56,Yes,Marketing,0.0,Low,3.0,Cat_6
461465,Male,Yes,31,Yes,Artist,8.0,Average,2.0,Cat_6
461466,Male,Yes,45,No,Artist,0.0,Low,2.0,Cat_7
461468,Male,Yes,69,Yes,Entertainment,,Average,3.0,Cat_6
461469,Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6
461476,Male,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_2
461479,Female,Yes,52,Yes,Artist,1.0,Average,3.0,Cat_6
461480,Female,Yes,57,Yes,Artist,1.0,High,3.0,Cat_6
461482,Female,No,50,Yes,Artist,9.0,Low,1.0,Cat_6
461494,Male,Yes,27,No,Engineer,0.0,Average,2.0,Cat_6
461501,Female,Yes,45,Yes,Engineer,1.0,High,3.0,Cat_6
461503,Female,No,30,Yes,Artist,8.0,Low,2.0,Cat_6
461510,Male,Yes,45,Yes,Artist,0.0,Low,2.0,Cat_6
461514,Male,No,30,No,Healthcare,1.0,Low,4.0,Cat_6
461516,Male,Yes,31,Yes,Entertainment,1.0,Average,3.0,Cat_6
461518,Female,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_3
461521,Male,Yes,67,Yes,Artist,0.0,High,2.0,Cat_6
461522,Male,Yes,76,No,Executive,1.0,High,2.0,Cat_6
461525,Male,Yes,69,Yes,Entertainment,0.0,Low,2.0,Cat_6
461526,Male,Yes,83,No,Entertainment,0.0,Low,2.0,Cat_6
461530,Male,Yes,38,Yes,Engineer,0.0,Low,2.0,Cat_6
461534,Male,Yes,36,Yes,Artist,0.0,Low,1.0,Cat_6
461540,Male,No,41,Yes,,2.0,Low,2.0,Cat_2
461546,Female,Yes,69,No,Lawyer,0.0,Low,3.0,Cat_6
461548,Female,No,33,Yes,Engineer,0.0,Low,3.0,Cat_6
461553,Male,No,38,Yes,Artist,1.0,Low,3.0,Cat_7
461556,Female,Yes,48,Yes,Engineer,1.0,Average,2.0,Cat_6
461558,Male,Yes,51,Yes,Engineer,2.0,Average,2.0,Cat_6
461564,Male,Yes,56,Yes,Executive,1.0,High,2.0,Cat_6
461570,Male,Yes,57,Yes,Artist,0.0,Average,3.0,Cat_6
461574,Female,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6
461587,Male,No,30,Yes,Healthcare,0.0,Low,3.0,Cat_6
461593,Female,Yes,40,Yes,Doctor,8.0,Average,2.0,Cat_6
461602,Female,No,30,Yes,Artist,0.0,Low,,Cat_6
461604,Male,Yes,38,No,Entertainment,0.0,Average,2.0,Cat_6
